DATE,VALUE
1947/1/1,8.5
1947/2/1,8.5
1947/3/1,8.5
1947/4/1,8.7
1947/5/1,8.7
1947/6/1,8.7
1947/7/1,8.9
1947/8/1,9.5
1947/9/1,9.5
1947/10/1,9.5
1947/11/1,9.7
1947/12/1,9.8
1948/1/1,10
1948/2/1,10
1948/3/1,10.1
1948/4/1,10.2
1948/5/1,10.6
1948/6/1,10.7
1948/7/1,10.9
1948/8/1,11.1
1948/9/1,11
1948/10/1,11
1948/11/1,11
1948/12/1,11
1949/1/1,11
1949/2/1,11
1949/3/1,11.1
1949/4/1,10.9
1949/5/1,10.8
1949/6/1,10.8
1949/7/1,10.8
1949/8/1,10.7
1949/9/1,10.7
1949/10/1,10.9
1949/11/1,10.9
1949/12/1,11
1950/1/1,11
1950/2/1,11
1950/3/1,11.1
1950/4/1,11.1
1950/5/1,11.1
1950/6/1,11.2
1950/7/1,11.2
1950/8/1,11.3
1950/9/1,11.3
1950/10/1,11.5
1950/11/1,11.5
1950/12/1,11.5
1951/1/1,11.6
1951/2/1,11.7
1951/3/1,11.8
1951/4/1,11.8
1951/5/1,12
1951/6/1,12
1951/7/1,12
1951/8/1,11.9
1951/9/1,11.9
1951/10/1,11.8
1951/11/1,11.9
1951/12/1,11.8
1952/1/1,11.8
1952/2/1,11.8
1952/3/1,11.9
1952/4/1,11.9
1952/5/1,12
1952/6/1,12
1952/7/1,12.3
1952/8/1,12.2
1952/9/1,12.2
1952/10/1,12.3
1952/11/1,12.3
1952/12/1,12.4
1953/1/1,12.4
1953/2/1,12.4
1953/3/1,12.5
1953/4/1,12.5
1953/5/1,12.6
1953/6/1,12.6
1953/7/1,12.8
1953/8/1,12.7
1953/9/1,12.7
1953/10/1,12.7
1953/11/1,12.7
1953/12/1,12.6
1954/1/1,12.6
1954/2/1,12.7
1954/3/1,12.6
1954/4/1,12.6
1954/5/1,12.5
1954/6/1,12.5
1954/7/1,12.5
1954/8/1,12.5
1954/9/1,12.5
1954/10/1,12.6
1954/11/1,12.6
1954/12/1,12.6
1955/1/1,12.6
1955/2/1,12.6
1955/3/1,12.7
1955/4/1,12.7
1955/5/1,12.7
1955/6/1,12.7
1955/7/1,12.7
1955/8/1,12.7
1955/9/1,12.8
1955/10/1,12.8
1955/11/1,12.8
1955/12/1,12.9
1956/1/1,13
1956/2/1,13
1956/3/1,13.1
1956/4/1,13.1
1956/5/1,13.2
1956/6/1,13.3
1956/7/1,13.3
1956/8/1,13.3
1956/9/1,13.3
1956/10/1,13.5
1956/11/1,13.6
1956/12/1,13.7
1957/1/1,13.9
1957/2/1,13.9
1957/3/1,13.9
1957/4/1,14
1957/5/1,14
1957/6/1,14
1957/7/1,14.1
1957/8/1,14
1957/9/1,14
1957/10/1,14
1957/11/1,14
1957/12/1,13.9
1958/1/1,13.8
1958/2/1,13.7
1958/3/1,13.7
1958/4/1,13.6
1958/5/1,13.6
1958/6/1,13.7
1958/7/1,13.7
1958/8/1,13.8
1958/9/1,13.9
1958/10/1,13.8
1958/11/1,13.8
1958/12/1,13.8
1959/1/1,13.9
1959/2/1,13.9
1959/3/1,14
1959/4/1,14
1959/5/1,14
1959/6/1,13.9
1959/7/1,13.9
1959/8/1,13.8
1959/9/1,13.8
1959/10/1,13.8
1959/11/1,13.8
1959/12/1,13.8
1960/1/1,13.9
1960/2/1,13.8
1960/3/1,13.7
1960/4/1,13.8
1960/5/1,13.7
1960/6/1,13.8
1960/7/1,13.8
1960/8/1,13.8
1960/9/1,13.8
1960/10/1,13.9
1960/11/1,13.8
