DATE,DPI
1947-01-01,171.0
1947-04-01,170.4
1947-07-01,178.0
1947-10-01,179.8
1948-01-01,185.4
1948-04-01,193.2
1948-07-01,199.4
1948-10-01,199.9
1949-01-01,194.4
1949-04-01,194.2
1949-07-01,194.3
1949-10-01,195.2
1950-01-01,209.9
1950-04-01,210.2
1950-07-01,217.3
1950-10-01,222.6
1951-01-01,229.9
1951-04-01,237.0
1951-07-01,240.0
1951-10-01,242.7
1952-01-01,243.6
1952-04-01,246.6
1952-07-01,253.2
1952-10-01,259.1
1953-01-01,263.3
1953-04-01,267.1
1953-07-01,267.3
1953-10-01,267.6
1954-01-01,270.3
1954-04-01,270.2
1954-07-01,272.2
1954-10-01,277.1
1955-01-01,282.5
1955-04-01,289.1
1955-07-01,295.5
1955-10-01,299.8
1956-01-01,304.1
1956-04-01,309.1
1956-07-01,313.7
1956-10-01,320.3
1957-01-01,324.2
1957-04-01,328.5
1957-07-01,333.0
1957-10-01,332.7
1958-01-01,334.2
1958-04-01,337.1
1958-07-01,344.1
1958-10-01,348.2
1959-01-01,353.6
1959-04-01,360.7
1959-07-01,362.4
1959-10-01,366.9
1960-01-01,371.8
1960-04-01,376.1
1960-07-01,378.2
1960-10-01,379.7
1961-01-01,384.1
1961-04-01,390.0
1961-07-01,396.6
1961-10-01,404.7
1962-01-01,410.3
1962-04-01,416.1
1962-07-01,419.4
1962-10-01,424.3
1963-01-01,429.2
1963-04-01,433.8
1963-07-01,440.7
1963-10-01,449.5
1964-01-01,460.6
1964-04-01,474.0
1964-07-01,481.7
1964-10-01,488.8
1965-01-01,496.2
1965-04-01,504.3
1965-07-01,520.1
1965-10-01,532.2
1966-01-01,541.6
1966-04-01,547.5
1966-07-01,558.4
1966-10-01,569.3
1967-01-01,579.5
1967-04-01,586.7
1967-07-01,597.7
1967-10-01,607.2
1968-01-01,624.1
1968-04-01,640.9
1968-07-01,649.1
1968-10-01,660.8
1969-01-01,668.7
1969-04-01,684.8
1969-07-01,707.9
1969-10-01,721.7
1970-01-01,737.2
1970-04-01,754.1
1970-07-01,773.4
1970-10-01,781.4
1971-01-01,804.6
1971-04-01,825.7
1971-07-01,838.2
1971-10-01,853.2
1972-01-01,866.2
1972-04-01,880.1
1972-07-01,904.9
1972-10-01,948.6
1973-01-01,966.9
1973-04-01,993.4
1973-07-01,1016.0
1973-10-01,1048.2
1974-01-01,1061.6
1974-04-01,1081.5
1974-07-01,1111.7
1974-10-01,1138.5
1975-01-01,1157.9
1975-04-01,1226.5
1975-07-01,1231.3
