observation_date,PCDG
1947-01-01,20.7
1947-04-01,21.4
1947-07-01,21.8
1947-10-01,23.5
1948-01-01,23.5
1948-04-01,24.0
1948-07-01,25.3
1948-10-01,25.0
1949-01-01,24.4
1949-04-01,26.4
1949-07-01,27.3
1949-10-01,28.4
1950-01-01,29.3
1950-04-01,29.8
1950-07-01,37.4
1950-10-01,33.3
1951-01-01,35.6
1951-04-01,30.7
1951-07-01,30.2
1951-10-01,30.4
1952-01-01,30.8
1952-04-01,31.0
1952-07-01,29.5
1952-10-01,33.7
1953-01-01,35.2
1953-04-01,35.0
1953-07-01,34.6
1953-10-01,33.7
1954-01-01,32.9
1954-04-01,33.6
1954-07-01,33.2
1954-10-01,35.1
1955-01-01,38.4
1955-04-01,40.7
1955-07-01,42.4
1955-10-01,41.4
1956-01-01,39.7
1956-04-01,39.8
1956-07-01,39.7
1956-10-01,41.5
1957-01-01,42.6
1957-04-01,42.2
1957-07-01,41.9
1957-10-01,41.5
1958-01-01,39.4
1958-04-01,38.6
1958-07-01,39.4
1958-10-01,40.7
1959-01-01,43.6
1959-04-01,45.5
1959-07-01,46.3
1959-10-01,44.1
1960-01-01,45.5
1960-04-01,46.4
1960-07-01,45.9
1960-10-01,44.7
1961-01-01,42.2
1961-04-01,43.3
1961-07-01,44.6
1961-10-01,46.7
1962-01-01,47.7
1962-04-01,49.0
1962-07-01,49.6
1962-10-01,51.5
1963-01-01,52.6
1963-04-01,53.9
1963-07-01,54.7
1963-10-01,55.7
1964-01-01,58.0
1964-04-01,59.5
1964-07-01,61.4
1964-10-01,59.4
1965-01-01,64.9
1965-04-01,64.8
1965-07-01,66.7
1965-10-01,69.1
1966-01-01,72.3
1966-04-01,69.7
1966-07-01,72.3
1966-10-01,72.6
1967-01-01,71.1
1967-04-01,74.5
1967-07-01,74.7
1967-10-01,75.6
1968-01-01,80.9
1968-04-01,83.1
1968-07-01,87.5
1968-10-01,87.8
1969-01-01,90.0
1969-04-01,90.4
1969-07-01,90.6
1969-10-01,90.8
1970-01-01,89.6
1970-04-01,91.0
1970-07-01,92.0
1970-10-01,87.3
1971-01-01,98.1
1971-04-01,101.0
1971-07-01,103.4
1971-10-01,107.3
1972-01-01,110.7
1972-04-01,114.1
1972-07-01,117.6
1972-10-01,123.4
1973-01-01,131.8
1973-04-01,131.3
1973-07-01,130.8
1973-10-01,128.2
1974-01-01,126.7
1974-04-01,130.6
1974-07-01,136.3
1974-10-01,127.1
1975-01-01,131.8
1975-04-01,136.7
1975-07-01,146.8
1975-10-01,153.4
1976-01-01,163.3
1976-04-01,165.9
1976-07-01,169.8
1976-10-01,175.5
1977-01-01,183.9
1977-04-01,189.2
1977-07-01,194.0
1977-10-01,200.7
1978-01-01,198.2
1978-04-01,216.2
1978-07-01,216.7
1978-10-01,222.3
1979-01-01,223.3
1979-04-01,222.1
1979-07-01,230.9
1979-10-01,229.0
1980-01-01,232.1
1980-04-01,211.9
1980-07-01,225.4
1980-10-01,236.2
1981-01-01,246.0
1981-04-01,240.9
1981-07-01,251.9
1981-10-01,236.8
1982-01-01,246.4
1982-04-01,249.2
1982-07-01,252.1
1982-10-01,264.4
1983-01-01,268.9
1983-04-01,289.6
