observation_date,DPCERE
1947/1/1,64.3
1947/4/1,65
1947/7/1,65.4
1947/10/1,64.5
1948/1/1,64.1
1948/4/1,63.9
1948/7/1,63.4
1948/10/1,63.4
1949/1/1,64.3
1949/4/1,65.7
1949/7/1,65.1
1949/10/1,66.6
1950/1/1,65.1
1950/4/1,64.3
1950/7/1,65
1950/10/1,61.8
1951/1/1,62.2
1951/4/1,59.5
1951/7/1,59.1
1951/10/1,59.4
1952/1/1,59.2
1952/4/1,60.1
1952/7/1,59.7
1952/10/1,59.8
1953/1/1,59.6
1953/4/1,59.5
1953/7/1,59.7
1953/10/1,60.4
1954/1/1,61
1954/4/1,61.6
1954/7/1,61.4
1954/10/1,61.3
1955/1/1,60.8
1955/4/1,60.8
1955/7/1,60.6
1955/10/1,60.5
1956/1/1,60.5
1956/4/1,60.3
1956/7/1,60.3
1956/10/1,60.2
1957/1/1,60
1957/4/1,60.2
1957/7/1,60.2
1957/10/1,61.1
1958/1/1,62
1958/4/1,62
1958/7/1,61.3
1958/10/1,60.4
1959/1/1,60.6
1959/4/1,60.3
1959/7/1,61.1
1959/10/1,61.1
1960/1/1,60.1
1960/4/1,61.3
1960/7/1,60.9
1960/10/1,61.8
1961/1/1,61.4
1961/4/1,61
1961/7/1,60.3
1961/10/1,60.2
1962/1/1,59.7
1962/4/1,59.9
1962/7/1,59.9
1962/10/1,60.5
1963/1/1,60.2
1963/4/1,60
1963/7/1,59.8
1963/10/1,59.6
1964/1/1,59.6
1964/4/1,59.9
1964/7/1,60.2
1964/10/1,60.1
1965/1/1,59.8
1965/4/1,59.7
1965/7/1,59.5
1965/10/1,59.5
1966/1/1,59
1966/4/1,59
1966/7/1,59.1
1966/10/1,58.8
1967/1/1,58.5
1967/4/1,59.2
1967/7/1,59
1967/10/1,58.8
1968/1/1,58.9
1968/4/1,58.8
1968/7/1,59.5
1968/10/1,59.3
1969/1/1,59.1
1969/4/1,59.2
1969/7/1,59.1
1969/10/1,59.7
1970/1/1,60
